Country,Population,Yearly Change,Net Change,Density,Land Area (KmÂ²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
Afghanistan,39074280,2.33%,886592,60,652860,-62920,4.6,18,25%,0.50%
South Africa,59436725,1.28%,750420,49,1213090,145405,2.4,28,67%,0.76%
Argentina,45267449,0.93%,415097,17,2736690,4800,2.3,32,93%,0.58%
Australia,25550683,1.18%,296686,3,7682300,158246,1.8,38,86%,0.33%
Brazil,212821986,0.72%,1509890,25,8358140,21200,1.7,33,88%,2.73%
China,1440297825,0.39%,5540090,153,9388211,-348399,1.7,38,61%,18.47%
Colombia,50976248,1.08%,543448,46,1109500,204796,1.8,31,80%,0.65%
Egypt,102659126,1.94%,1946331,103,995450,-38033,3.3,25,43%,1.31%
France,65298930,0.22%,143783,119,547557,36527,1.9,42,82%,0.84%
Germany,83830972,0.32%,266897,240,348560,543822,1.6,46,76%,1.07%
India,1382345085,0.99%,13586631,464,2973190,-532687,2.2,28,35%,17.70%
Indonesia,274021604,1.07%,2898047,151,1811570,-98955,2.3,30,56%,3.51%
Iran,84176929,1.30%,1079043,52,1628550,-55000,2.2,32,76%,1.08%
Iraq,40372771,2.32%,912710,93,434320,7834,3.7,21,73%,0.52%
Italy,60446035,-0.15%,-88249,206,294140,148943,1.3,47,69%,0.78%
Japan,126407422,-0.30%,-383840,347,364555,71560,1.4,48,92%,1.62%
North Korea,25798588,0.44%,112655,214,120410,-5403,1.9,35,63%,0.33%
South Korea,51276977,0.09%,43877,527,97230,11731,1.1,44,82%,0.66%
Malaysia,32436963,1.30%,416222,99,328550,50000,2,30,78%,0.42%
Mexico,129166028,1.06%,1357224,66,1943950,-60000,2.1,29,84%,1.65%
Peru,33050211,1.42%,461401,26,1280000,99069,2.3,31,79%,0.42%
Philippines,109830324,1.35%,1464463,368,298170,-67152,2.6,26,47%,1.41%
Poland,37839255,-0.11%,-41157,124,306230,-29395,1.4,42,60%,0.49%
Russia,145945524,0.04%,62206,9,16376870,182456,1.8,40,74%,1.87%
Saudi Arabia,34905942,1.59%,545343,16,2149690,134979,2.3,32,84%,0.45%
Spain,46757980,0.04%,18002,94,498800,40000,1.3,45,80%,0.60%
Thailand,69830779,0.25%,174396,137,510890,19444,1.5,40,51%,0.90%
Turkey,84495243,1.09%,909452,110,769630,283922,2.1,32,76%,1.08%
Uganda,45974931,3.32%,1471413,229,199810,168694,5,17,26%,0.59%
Ukraine,43686577,-0.59%,-259876,75,579320,10000,1.4,41,69%,0.56%
United Kingdom,67948282,0.53%,355839,281,241930,260650,1.8,40,83%,0.87%
United States,331341050,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%
Venezuela,28421581,-0.28%,-79889,32,882050,-653249,2.3,30,N.A.,0.36%
Vietnam,97490013,0.91%,876473,314,310070,-80000,2.1,32,38%,1.25%
